Company,Debt_Score,Profit_Score,Liquidity_Score,Efficiency_Score,PRS_Score,Lower_Bound,Upper_Bound,Uncertainty,Anomaly,Risk_Level
STIFEL FINANCIAL CORP,20.61,14.23,15.57,19.96,70.37,64.56,76.18,5.81,Normal,High Risk
SAIA INC,24.88,16.53,24.54,4.39,70.34,63.93,76.75,6.41,ANOMALY,High Risk
Amcor plc,16.02,14.85,18.83,20.61,70.31,64.5,76.12,5.81,Normal,High Risk
SIMON PROPERTY GROUP INC.,19.99,10.08,20.27,19.92,70.26,63.85,76.67,6.41,Normal,High Risk
"DOMINION ENERGY, INC",17.04,8.57,24.21,20.37,70.19,64.38,76.0,5.81,Normal,High Risk
Hyatt Hotels Corp,17.83,23.11,14.06,15.16,70.16,64.35,75.97,5.81,Normal,High Risk
"Rubrik, Inc.",24.07,24.85,12.72,8.33,69.97,64.17,75.77,5.8,ANOMALY,High Risk
"TRAVELERS COMPANIES, INC.",18.72,12.21,24.01,14.92,69.86,63.47,76.25,6.39,Normal,High Risk
BOEING CO,23.11,21.4,15.09,10.19,69.79,64.0,75.58,5.79,Normal,High Risk
REGIONS FINANCIAL CORP,21.19,5.04,20.06,23.49,69.78,63.99,75.57,5.79,Normal,High Risk
FIRST CITIZENS BANCSHARES INC /DE/,21.98,5.93,17.97,23.87,69.75,63.96,75.54,5.79,Normal,High Risk
FTAI Aviation Ltd.,22.53,23.53,14.2,9.47,69.73,63.94,75.52,5.79,Normal,High Risk
"Venture Global, Inc.",18.83,17.39,16.67,16.7,69.59,63.21,75.97,6.38,Normal,High Risk
SOUTHERN CO,18.11,10.56,21.74,18.83,69.24,63.47,75.01,5.77,Normal,High Risk
"HARTFORD INSURANCE GROUP, INC.",18.96,11.49,23.42,15.23,69.1,62.74,75.46,6.36,Normal,High Risk
SOMNIGROUP INTERNATIONAL INC.,17.63,11.35,22.84,17.22,69.04,63.28,74.8,5.76,Normal,High Risk
HUNTINGTON BANCSHARES INC /MD/,21.67,0.55,21.95,24.85,69.02,63.26,74.78,5.76,Normal,High Risk
AMERICAN TOWER CORP /MA/,20.03,9.77,19.51,19.58,68.89,63.13,74.65,5.76,Normal,High Risk
"ASSURANT, INC.",20.06,17.8,16.08,14.57,68.51,62.77,74.25,5.74,Normal,High Risk
"Warner Bros. Discovery, Inc.",14.51,17.63,14.44,21.88,68.46,62.72,74.2,5.74,Normal,High Risk
OGE ENERGY CORP.,15.09,10.77,24.85,17.63,68.34,62.61,74.07,5.73,Normal,High Risk
EDISON INTERNATIONAL,19.34,5.97,24.49,18.35,68.15,62.42,73.88,5.73,Normal,High Risk
CNH Industrial N.V.,19.82,21.09,14.27,12.93,68.11,62.39,73.83,5.72,Normal,High Risk
Karman Holdings Inc.,9.77,21.02,21.3,15.95,68.04,62.32,73.76,5.72,Normal,High Risk
"BXP, Inc.",16.84,16.56,13.82,20.75,67.97,62.25,73.69,5.72,Normal,High Risk
AMERICAN FINANCIAL GROUP INC,20.47,14.64,15.88,16.84,67.83,62.12,73.54,5.71,Normal,High Risk
"Intercontinental Exchange, Inc.",19.2,1.82,22.91,23.8,67.73,62.02,73.44,5.71,Normal,High Risk
CITIGROUP INC,20.35,9.33,16.19,21.81,67.68,61.97,73.39,5.71,Normal,High Risk
Warner Music Group Corp.,22.46,16.5,16.46,12.21,67.63,61.92,73.34,5.71,Normal,High Risk
"Fidelity National Information Services, Inc.",12.79,20.3,19.1,15.4,67.59,61.89,73.29,5.7,Normal,High Risk
"Guardant Health, Inc.",23.39,24.52,8.2,11.28,67.39,61.69,73.09,5.7,Normal,High Risk
PINNACLE WEST CAPITAL CORP,5.04,18.07,24.85,19.24,67.2,60.91,73.49,6.29,Normal,High Risk
ALBEMARLE CORP,12.38,23.87,15.36,15.53,67.14,60.85,73.43,6.29,Normal,High Risk
NORDSON CORP,24.28,6.69,22.21,13.96,67.14,60.85,73.43,6.29,Normal,High Risk
OSHKOSH CORP,22.74,20.82,17.3,5.93,66.79,60.52,73.06,6.27,Normal,High Risk
"XPO, Inc.",23.73,19.86,18.79,4.29,66.67,60.4,72.94,6.27,Normal,High Risk
CME GROUP INC.,20.64,1.58,19.92,24.49,66.63,60.96,72.3,5.67,Normal,High Risk
Viatris Inc,13.51,22.82,16.36,13.89,66.58,60.92,72.24,5.66,Normal,High Risk
TTM TECHNOLOGIES INC,24.62,18.45,17.18,6.14,66.39,60.13,72.65,6.26,ANOMALY,High Risk
AeroVironment Inc,24.88,0.12,23.75,17.52,66.27,59.42,73.12,6.85,ANOMALY,High Risk
REGAL REXNORD CORP,15.91,16.08,16.89,17.32,66.2,59.95,72.45,6.25,Normal,High Risk
Chubb Ltd,16.87,9.05,22.39,17.8,66.11,60.47,71.75,5.64,Normal,High Risk
WASTE MANAGEMENT INC,19.03,8.16,23.39,15.47,66.05,60.41,71.69,5.64,Normal,High Risk
