Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
295,"CROWN HOLDINGS, INC.",1219601,11.66,0.74,14.27,9.445,0.76,Low Risk,80.0
296,SHOPIFY INC.,1594805,11.56,1.23,15.19,9.445,1.54,Low Risk,80.0
297,XCEL ENERGY INC,72903,11.54,2.02,81.37,9.445,0.13,Low Risk,80.0
298,"Ulta Beauty, Inc.",1403568,11.3,1.2,6.0,3.51,0.7,Medium Risk,100.0
299,WESTLAKE CORP,1262823,11.17,-1.51,19.96,10.67,2.72,Medium Risk,100.0
300,QUEST DIAGNOSTICS INC,1022079,11.04,0.99,16.23,9.445,0.42,Low Risk,80.0
301,BALL Corp,9389,10.98,0.44,19.52,14.1,1.21,Medium Risk,100.0
302,INTERNATIONAL FLAVORS & FRAGRANCES INC,51253,10.89,0.34,25.54,9.445,0.59,Low Risk,80.0
303,WELLTOWER INC.,766704,10.84,0.22,67.3,24.1,5.03,Low Risk,100.0
304,CDW Corp,1402057,10.77,1.07,16.03,5.97,0.62,Low Risk,100.0
305,Aon plc,315293,10.77,3.69,50.78,41.24,1.2,High Risk,100.0
306,"Cheniere Energy Partners, L.P.",1383650,10.76,2.99,17.44,17.02,0.18,High Risk,100.0
307,"DELTA AIR LINES, INC.",27904,10.74,5.0,81.32,9.445,4.31,Low Risk,80.0
308,"Fidelity National Information Services, Inc.",1136893,10.68,0.38,33.49,19.59,0.6,Medium Risk,100.0
309,CSX CORP,277948,10.64,2.89,43.68,30.52,1.96,Medium Risk,100.0
310,AMERICAN TOWER CORP /MA/,1053507,10.64,1.69,63.19,52.84,1.47,High Risk,100.0
311,"Burlington Stores, Inc.",1579298,10.63,0.5,8.77,9.445,0.99,Low Risk,80.0
312,lululemon athletica inc.,1397187,10.59,1.81,7.6,3.28,0.88,Low Risk,100.0
313,"Warner Bros. Discovery, Inc.",1437107,10.55,0.73,100.08,62.92,4.57,Medium Risk,100.0
314,NORFOLK SOUTHERN CORP,702165,10.55,2.87,45.24,29.69,1.53,Medium Risk,100.0
315,NVR INC,906163,10.32,1.34,5.86,1.99,2.81,Low Risk,100.0
316,"CONSTELLATION BRANDS, INC.",16918,10.21,-0.08,21.65,14.52,0.07,Medium Risk,100.0
